date,Gb(i),Gd(i),H_sun,T2m,WS10m,Wdir,Humidity,Pressure
12/5/2018,5135.64,1743.51,35.28333333333333,17.095333333333333,5.264,262.6666666666667,60.4,1015.1133333333333
13/5/2018,60.629999999999995,951.52,35.467999999999996,10.67,10.072666666666667,284.6666666666667,83.26666666666667,1011.9866666666668
14/5/2018,1209.53,1796.42,35.64933333333333,12.591333333333333,9.402,284.6666666666667,69.46666666666667,1012.3866666666667
15/5/2018,2769.35,2130.13,35.82333333333334,16.118666666666666,8.854666666666667,228.66666666666666,63.06666666666667,1011.0333333333333
16/5/2018,4334.41,1907.89,35.994666666666674,17.812,5.489333333333334,162.0,51.93333333333333,1013.5066666666667
17/5/2018,3890.05,2023.03,36.16133333333333,16.687333333333335,1.8446666666666667,187.33333333333334,67.26666666666667,1015.4066666666666
18/5/2018,5484.55,1495.8700000000001,36.32666666666667,17.758666666666667,2.054666666666667,89.33333333333333,60.46666666666667,1016.2199999999999
19/5/2018,5317.150000000001,1583.47,36.486666666666665,19.085333333333335,1.352,126.66666666666667,56.266666666666666,1015.0666666666667
20/5/2018,5469.81,1548.55,36.64,19.684,1.8846666666666667,84.66666666666667,53.13333333333333,1014.1466666666668
21/5/2018,2851.9,2739.98,36.78933333333334,19.218,2.0833333333333335,202.0,67.2,1012.1
22/5/2018,862.03,2175.84,36.936,18.082666666666668,2.368666666666667,272.6666666666667,71.53333333333333,1014.06
23/5/2018,4858.05,1749.92,37.07733333333333,19.195333333333334,2.354,261.3333333333333,64.93333333333334,1017.0466666666666
24/5/2018,5375.71,1641.6299999999999,37.212666666666664,19.363333333333333,2.44,176.66666666666666,57.2,1017.76
25/5/2018,5473.28,1589.61,37.34533333333333,20.576666666666664,1.6453333333333333,80.0,53.8,1016.1466666666668
26/5/2018,3486.61,2035.22,37.472,21.336666666666666,4.375333333333333,78.0,55.4,1016.7800000000001
27/5/2018,1536.19,2785.29,37.59466666666666,22.649333333333335,5.921333333333333,107.33333333333333,55.53333333333333,1014.4066666666666
28/5/2018,3087.9300000000003,2149.19,37.712666666666664,20.011333333333333,6.244,111.33333333333333,75.4,1015.9133333333334
29/5/2018,4721.65,1770.99,37.82733333333333,20.204666666666665,3.5773333333333337,85.33333333333333,64.26666666666667,1015.0466666666667
30/5/2018,3112.95,2142.89,37.93666666666666,20.494000000000003,1.6580000000000001,186.0,71.46666666666667,1013.24
31/5/2018,4691.69,1779.3500000000001,38.042,19.733333333333334,3.3286666666666664,282.0,69.46666666666667,1017.3666666666667
1/6/2018,5442.59,1525.45,38.14066666666667,21.032666666666668,3.5773333333333333,222.66666666666666,63.4,1018.5266666666666
